# Auto-generated by scripts/build_char_frequency_from_wordlists.py
# Format: <char>\t<weight>  (corpus count + general-rank bonus)
尘	701
扯	688
吵	687
城	682
臣	682
撤	677
鱼	677
澈	668
晨	663
辰	662
郴	662
陈	662
乘	639
忱	637
趁	629
橙	620
衬	618
撑	616
吃	608
诚	606
承	605
呈	603
惩	595
澄	586
逞	582
尺	576
骋	566
秤	564
齿	563
赤	559
痴	558
池	556
迟	550
匙	545
驰	543
翅	539
耻	537
肉	536
弛	532
冲	525
侈	513
虫	505
充	503
鸡	499
斥	491
炽	482
抽	475
愁	474
崇	473
宠	467
酬	452
筹	451
畴	442
稠	439
踌	438
初	424
绸	421
丑	420
臭	415
糕	414
瞅	412
楚	404
橱	393
厨	391
春	389
川	387
躇	383
锄	379
雏	379
汤	376
豆	374
滁	367
触	367
础	363
穿	358
矗	351
船	348
搐	347
香	342
揣	340
蛋	330
椽	326
串	325
床	325
窗	325
喘	321
吹	317
云	313
疮	313
言	308
创	301
垂	301
牛	297
幢	291
醇	291
黄	288
闯	284
炊	279
捶	270
锤	269
唇	258
糖	255
椿	244
磁	242
丝	238
辞	238
玉	237
纯	232
仪	231
淳	229
酥	228
绰	218
蠢	218
戳	212
词	210
神	208
茨	207
葱	205
虎	201
雌	200
慈	196
刺	195
雨	195
酒	189
瓜	186
醋	182
烧	181
瓷	178
食	178
聪	174
骨	171
麻	169
视	165
赐	165
死	164
凤	162
粗	158
耳	158
阳	157
双	150
球	150
奶	148
丛	147
皮	147
囱	146
雪	146
匆	145
射	144
汁	143
木	142
桃	142
腐	141
鲜	141
足	140
古	139
落	139
仁	138
虾	136
凑	135
远	135
锅	134
卷	133
绝	133
羊	131
望	128
衣	127
河	126
语	126
脆	125
若	125
摄	124
促	122
辣	122
簇	121
沙	120
坐	118
粉	118
罐	117
银	117
味	113
鸭	113
苦	111
寸	110
德	110
炖	109
黑	109
乐	108
士	108
网	108
蹿	108
镜	108
叶	107
摧	107
窜	107
排	106
枣	106
绿	106
篡	105
字	104
投	103
蜜	103
失	102
猪	102
蒸	102
椒	101
炸	101
曲	100
翠	100
归	99
微	99
粥	99
破	98
丁	97
兰	97
宝	97
像	96
尔	96
异	96
狗	95
露	95
冬	94
尽	94
桂	94
酱	94
秋	93
甲	92
笑	92
饮	92
举	91
酯	91
洋	90
底	89
珠	89
盘	89
穷	89
距	89
闻	89
咖	88
芝	88
井	87
功	87
奇	87
恶	87
善	86
崔	86
甘	86
航	86
催	85
夜	85
亚	84
惊	84
独	84
眉	84
宇	83
树	83
尾	82
巧	82
轻	82
密	81
燕	81
爆	81
笋	81
超	81
饭	81
鬼	81
松	80
核	80
移	80
胜	80
夫	79
女	79
柳	79
罗	79
源	78
血	78
乱	77
富	77
故	77
首	77
煎	76
蟹	76
乳	75
瘁	75
短	75
茄	75
薄	75
板	74
爱	74
胆	74
舌	74
鼓	74
乙	73
梨	73
谱	73
贵	73
刀	72
泥	72
顾	72
麦	72
寒	71
州	71
扬	71
折	71
萝	71
台	70
鹤	70
卫	69
啡	69
宙	69
巴	69
待	69
息	69
村	69
横	69
画	69
肝	69
菇	69
倒	68
忘	68
竹	68
甜	67
粹	67
野	67
鼠	67
杏	66
聚	66
脂	66
荷	66
锦	66
随	66
喜	65
纬	65
莫	65
普	64
暗	64
暴	64
虚	64
舞	63
药	63
谈	63
兴	62
威	62
师	62
拔	62
散	62
欲	62
游	62
牙	62
羹	62
肚	62
退	62
雷	62
急	61
淬	61
临	60
势	60
未	60
浪	60
狼	60
脚	60
误	60
鸣	60
乌	59
哈	59
堂	59
换	59
服	59
枝	59
环	59
福	59
胶	59
鼎	59
武	58
激	58
章	58
脑	58
莲	58
钠	58
杀	57
模	57
良	57
软	57
凉	56
态	56
旧	56
梦	56
歌	56
盐	56
错	56
阿	56
卡	55
岁	55
户	55
蛇	55
针	55
仙	54
兔	54
墨	54
致	54
顺	54
末	53
止	53
泡	53
灯	53
烟	53
腰	53
蹄	53
齐	53
俗	52
冷	52
击	52
危	52
司	52
孤	52
寡	52
扫	52
浮	52
烤	52
余	51
偏	51
含	51
室	51
拌	51
梅	51
痛	51
索	51
胡	51
颜	51
伤	50
假	50
塞	50
夹	50
守	50
尼	50
居	50
恒	50
私	50
累	50
蜂	50
败	50
鸟	50
丸	49
宁	49
径	49
礼	49
终	49
蓉	49
载	49
迹	49
姜	48
怀	48
珍	48
略	48
疾	48
纸	48
腹	48
刻	47
弹	47
斑	47
煲	47
祸	47
腿	47
舍	47
蓝	47
迷	47
静	47
客	46
宫	46
恩	46
措	46
李	46
泰	46
煮	46
田	46
罪	46
英	46
防	46
鸿	46
丰	45
冠	45
告	45
官	45
弃	45
瓦	45
肥	45
遥	45
闲	45
魂	45
乡	44
修	44
吉	44
君	44
呼	44
怒	44
施	44
磋	44
谋	44
丹	43
久	43
佛	43
倾	43
块	43
怪	43
振	43
掌	43
欢	43
灵	43
焖	43
站	43
谷	43
遗	43
雀	43
似	42
卖	42
墙	42
挂	42
推	42
淡	42
焦	42
读	42
辐	42
钟	42
妙	41
寿	41
弄	41
暮	41
杞	41
栗	41
楼	41
毫	41
犬	41
瘦	41
登	41
益	41
紫	41
荡	41
贫	41
费	41
钱	41
雾	41
顶	41
鹿	41
坚	40
抱	40
摇	40
撮	40
氧	40
洗	40
灰	40
简	40
菊	40
覆	40
雅	40
零	40
令	39
吗	39
吞	39
圈	39
杂	39
桑	39
盖	39
藕	39
负	39
贤	39
逢	39
阴	39
买	38
亡	38
依	38
厚	38
怨	38
悬	38
扒	38
招	38
控	38
救	38
敬	38
检	38
磨	38
缩	38
苏	38
荣	38
追	38
醉	38
雕	38
仰	37
冻	37
夺	37
宿	37
尊	37
屈	37
弱	37
戏	37
智	37
泉	37
洞	37
疑	37
端	37
纳	37
绘	37
考	37
芦	37
顿	37
傲	36
勒	36
印	36
左	36
巨	36
披	36
枯	36
烩	36
牌	36
留	36
秀	36
稳	36
筋	36
绵	36
芙	36
葡	36
貌	36
附	36
助	35
厉	35
嘴	35
固	35
弦	35
恨	35
患	35
析	35
柠	35
梁	35
汉	35
皇	35
箭	35
翻	35
脉	35
轮	35
送	35
逸	35
降	35
壮	34
夕	34
孔	34
宜	34
忧	34
搓	34
攻	34
敌	34
湖	34
灭	34
盗	34
磷	34
莓	34
逐	34
霜	34
休	33
剑	33
卧	33
吐	33
圣	33
均	33
奔	33
尖	33
氢	33
琴	33
硬	33
纵	33
舟	33
苹	33
萄	33
虑	33
螺	33
雄	33
典	32
升	32
午	32
友	32
哀	32
姿	32
寻	32
屋	32
忍	32
房	32
扰	32
拿	32
晶	32
枕	32
架	32
桔	32
椰	32
焚	32
狂	32
班	32
男	32
盈	32
碎	32
籍	32
肩	32
胸	32
营	32
丽	31
伯	31
凡	31
库	31
托	31
抹	31
摩	31
旁	31
滑	31
竭	31
绣	31
臂	31
芋	31
芽	31
跃	31
跳	31
迁	31
迎	31
逆	31
飘	31
丧	30
仔	30
右	30
夏	30
害	30
席	30
序	30
探	30
旗	30
束	30
案	30
母	30
糯	30
蒜	30
蕉	30
薪	30
蘑	30
试	30
途	30
酿	30
钙	30
限	30
隐	30
鱿	30
龟	30
优	29
刚	29
履	29
废	29
弟	29
征	29
扶	29
昏	29
檬	29
漏	29
烯	29
番	29
纷	29
腾	29
芒	29
蓬	29
衡	29
贪	29
轨	29
邻	29
雁	29
剂	28
协	28
塔	28
封	28
康	28
挫	28
晚	28
朗	28
椭	28
注	28
涨	28
混	28
父	28
瑰	28
突	28
窝	28
羽	28
肘	28
肺	28
脯	28
脱	28
蒙	28
诺	28
贯	28
锋	28
饱	28
魄	28
鳝	28
俱	27
健	27
兼	27
冕	27
叠	27
囊	27
境	27
庭	27
戈	27
显	27
枪	27
毒	27
泣	27
浆	27
涂	27
腊	27
裂	27
课	27
贼	27
钾	27
销	27
险	27
亮	26
付	26
伏	26
伦	26
净	26
勇	26
啤	26
拜	26
早	26
朱	26
沸	26
炉	26
狐	26
玫	26
甚	26
皆	26
码	26
翼	26
脸	26
配	26
释	26
颠	26
鲍	26
鳞	26
仇	25
佳	25
借	25
偷	25
哥	25
幅	25
座	25
悔	25
旋	25
柔	25
欺	25
汽	25
熊	25
盒	25
盛	25
碳	25
继	25
芹	25
街	25
觉	25
透	25
郎	25
酪	25
镂	25
阵	25
鲫	25
鸳	25
鸽	25
鹅	25
伐	24
儒	24
厌	24
娇	24
孙	24
岸	24
巷	24
徒	24
慢	24
扣	24
执	24
择	24
搭	24
暖	24
枸	24
永	24
淀	24
演	24
烈	24
猴	24
粒	24
粟	24
纠	24
艾	24
让	24
诗	24
谢	24
赏	24
轴	24
辱	24
饺	24
麟	24
冤	23
园	23
困	23
壳	23
奉	23
宗	23
宽	23
廉	23
戴	23
旷	23
棒	23
浅	23
淋	23
漫	23
烂	23
爽	23
矩	23
糊	23
糟	23
繁	23
续	23
脊	23
膏	23
茸	23
荆	23
警	23
贱	23
返	23
铜	23
震	23
鲁	23
鸾	23
乎	22
介	22
伊	22
倚	22
函	22
凿	22
判	22
割	22
吊	22
吸	22
咸	22
坏	22
愿	22
戚	22
拳	22
捉	22
敲	22
杨	22
染	22
桥	22
森	22
楂	22
浑	22
涉	22
灾	22
烛	22
禁	22
符	22
箱	22
缘	22
耀	22
茅	22
蔬	22
责	22
赫	22
遇	22
韭	22
驴	22
驾	22
鸯	22
俯	21
凌	21
减	21
剧	21
勤	21
吠	21
坡	21
坦	21
奋	21
奥	21
妻	21
彗	21
念	21
悦	21
扇	21
拾	21
损	21
斩	21
旦	21
昂	21
朋	21
柱	21
款	21
毁	21
泪	21
洛	21
渴	21
灌	21
璧	21
疏	21
盲	21
穴	21
窥	21
答	21
粮	21
缺	21
聊	21
艳	21
芳	21
苟	21
裘	21
请	21
豪	21
踪	21
钻	21
预	21
兽	20
刷	20
叹	20
喝	20
套	20
奸	20
妇	20
庆	20
延	20
弓	20
忠	20
怕	20
恋	20
恭	20
惜	20
慨	20
抗	20
拖	20
捷	20
昭	20
朽	20
棋	20
氨	20
汗	20
洁	20
浓	20
淫	20
添	20
港	20
滴	20
炮	20
煸	20
熟	20
爪	20
猫	20
玩	20
琼	20
畏	20
矢	20
硫	20
祥	20
稀	20
纪	20
耕	20
苗	20
荒	20
蝶	20
货	20
踵	20
躬	20
辛	20
醛	20
阔	20
霞	20
饥	20
骑	20
鲤	20
默	20
句	19
哭	19
围	19
夷	19
妄	19
姓	19
峰	19
惑	19
慎	19
慕	19
拟	19
挥	19
敢	19
污	19
淮	19
渊	19
漆	19
狮	19
砂	19
祖	19
童	19
笼	19
胎	19
范	19
著	19
蚁	19
衰	19
趣	19
输	19
辙	19
逃	19
邦	19
邪	19
郁	19
铝	19
陆	19
隔	19
隙	19
韵	19
额	19
驱	19
鹰	19
丈	18
吧	18
喷	18
婚	18
媚	18
孝	18
宣	18
希	18
弯	18
惠	18
慌	18
拍	18
拱	18
挨	18
掩	18
杜	18
柿	18
欧	18
津	18
润	18
涯	18
溜	18
滚	18
烦	18
版	18
犯	18
珊	18
盆	18
矮	18
筒	18
粑	18
绳	18
罚	18
翡	18
艰	18
茂	18
莺	18
萧	18
诸	18
豉	18
豹	18
贴	18
辉	18
违	18
酰	18
钩	18
锁	18
靡	18
饿	18
骂	18
骄	18
鸠	18
鹑	18
乔	17
亏	17
互	17
刑	17
匪	17
匹	17
唯	17
坑	17
堪	17
填	17
姑	17
岛	17
崩	17
录	17
怡	17
愤	17
截	17
扑	17
护	17
掘	17
描	17
摸	17
撞	17
晕	17
汐	17
液	17
熏	17
熘	17
燃	17
牵	17
票	17
秦	17
竖	17
综	17
缓	17
翔	17
胺	17
萨	17
袋	17
赞	17
迪	17
迭	17
酚	17
闪	17
阻	17
鞋	17
频	17
饯	17
亭	16
伸	16
劫	16
医	16
卤	16
塌	16
宵	16
幽	16
彻	16
忌	16
忙	16
惯	16
愚	16
拙	16
敏	16
映	16
曼	16
校	16
殊	16
洪	16
浩	16
渔	16
炎	16
犹	16
瑕	16
紧	16
纤	16
缝	16
羞	16
肆	16
肤	16
莱	16
获	16
薯	16
蚝	16
融	16
袖	16
誉	16
誓	16
评	16
赖	16
酶	16
阙	16
陵	16
骥	16
鹌	16
丢	15
予	15
偶	15
卵	15
吟	15
呢	15
啊	15
喱	15
垢	15
域	15
壑	15
壶	15
寄	15
尸	15
屏	15
幕	15
庸	15
弥	15
忽	15
怜	15
悠	15
授	15
握	15
撒	15
攀	15
昧	15
晦	15
曾	15
涕	15
炭	15
烹	15
玛	15
痒	15
筑	15
绪	15
缕	15
翩	15
职	15
肌	15
芥	15
茫	15
荔	15
葫	15
薏	15
蝇	15
蝉	15
讨	15
诛	15
诡	15
跋	15
跌	15
跑	15
蹈	15
钉	15
陷	15
霄	15
俭	14
